video,dataset,comp,duration_s,frames,total_extract_s,frame_load_s,mediapipe_s,optical_flow_s,rppg_s,other_s,peak_ram_mb,cpu_time_s,rtf
830_828.mp4,neuraltextures,c40,12.76,319,21.743,0.413,2.181,0.468,2.132,16.55,1422.4,27.45,1.704
146_256.mp4,neuraltextures,c40,22.75,546,66.462,1.299,2.066,1.702,5.184,56.211,4736.8,102.25,2.921
435_456.mp4,neuraltextures,c40,19.04,476,23.527,0.446,2.056,0.519,2.179,18.327,1580.3,30.44,1.236
488_399.mp4,neuraltextures,c40,17.27,518,31.186,0.587,2.727,0.72,2.538,24.614,2052.9,41.06,1.806
624_570.mp4,neuraltextures,c40,14.0,350,30.593,0.586,2.126,0.723,2.461,24.697,2053.4,40.49,2.185
803_017.mp4,neuraltextures,c40,9.9,297,30.919,0.582,2.095,0.78,2.595,24.867,2032.8,40.78,3.123
769_784.mp4,neuraltextures,c40,16.13,484,61.946,1.289,2.196,1.66,5.165,51.636,4738.1,97.94,3.84
751_752.mp4,neuraltextures,c40,11.03,331,24.143,0.475,2.038,0.524,2.758,18.349,1578.9,30.89,2.188
000_003.mp4,neuraltextures,c40,12.12,303,23.076,0.462,2.054,0.517,2.125,17.917,1580.3,29.95,1.904
935_733.mp4,neuraltextures,c40,20.72,518,149.531,3.047,2.166,3.898,9.727,130.693,10654.9,243.87,7.217
