config,n_features,extract_time_s,classifier_inference_ms,model_size_kb,rtf,peak_ram_mb
top-3,3,50.174,0.201,501.9,3.344,3373.1
top-10,10,50.174,0.18,585.0,3.344,3373.1
top-20,20,50.174,0.18,590.1,3.344,3373.1
all-50,50,50.174,0.21,611.2,3.344,3373.1
