dataset,pillar,full_auc,loGo_auc,delta,z,p_value,p_holm
NeuralTextures,T1_temporal_noise,0.7867,0.7887,-0.002,-0.294,0.768610346758297,1.0
NeuralTextures,T2_rppg,0.7867,0.796,-0.0092,-0.969,0.3327746862732295,1.0
NeuralTextures,T3_temporal_prnu,0.7867,0.783,0.0037,0.45,0.6527408541550637,1.0
NeuralTextures,T4_face_ssim,0.7867,0.7986,-0.0118,-1.292,0.19630828160695657,1.0
NeuralTextures,T5_codec_residual,0.7867,0.7771,0.0096,1.396,0.16268241281296558,1.0
NeuralTextures,T6_landmark_traj,0.7867,0.7943,-0.0075,-0.637,0.5238633843609273,1.0
NeuralTextures,T7_rigid_geometry,0.7867,0.7926,-0.0059,-0.754,0.4508044548238601,1.0
NeuralTextures,T8_face_bg_edge,0.7867,0.7922,-0.0055,-0.817,0.4138646448463361,1.0
NeuralTextures,T9_skin_texture,0.7867,0.787,-0.0002,-0.024,0.9812072100377787,1.0
NeuralTextures,T10_color_transfer,0.7867,0.793,-0.0062,-0.764,0.4448954407959911,1.0
NeuralTextures,T11_specular,0.7867,0.7883,-0.0015,-0.223,0.823336191436068,1.0
NeuralTextures,T12_blink,0.7867,0.7893,-0.0025,-0.373,0.7092464561982577,1.0
NeuralTextures,T13_motion_blur_coupling,0.7867,0.7804,0.0064,0.673,0.5007520173696727,1.0
NeuralTextures,T14_dct_temporal,0.7867,0.783,0.0038,0.492,0.6225619456754212,1.0
CelebDF,P1_noise,0.6322,0.6194,0.0128,2.629,0.008563300546316377,0.1456
CelebDF,P2_prnu,0.6322,0.6331,-0.0009,-0.21,0.8337573368322209,1.0
CelebDF,P4_shadow,0.6322,0.6274,0.0048,1.11,0.26678894152826826,1.0
CelebDF,P6_compression,0.6322,0.6212,0.011,3.035,0.002406310289206459,0.0481
CelebDF,P8_blur,0.6322,0.6346,-0.0025,-0.653,0.5137970548776225,1.0
CelebDF,P9_flow,0.6322,0.6258,0.0063,1.317,0.1877639800312041,1.0
CelebDF,T1_temporal_noise,0.6322,0.6324,-0.0002,-0.034,0.9729365091001558,1.0
CelebDF,T2_rppg,0.6322,0.6461,-0.0139,-3.026,0.0024758149080692515,0.0481
CelebDF,T3_temporal_prnu,0.6322,0.6221,0.0101,2.73,0.006330304211350279,0.1139
CelebDF,T4_face_ssim,0.6322,0.6206,0.0116,2.279,0.022666510887335622,0.3627
CelebDF,T5_codec_residual,0.6322,0.6301,0.0021,0.448,0.654491097258848,1.0
CelebDF,T6_landmark_traj,0.6322,0.6253,0.0069,1.376,0.16868195228271343,1.0
CelebDF,T7_rigid_geometry,0.6322,0.6441,-0.0119,-1.805,0.07104355660980421,1.0
CelebDF,T8_face_bg_edge,0.6322,0.632,0.0002,0.031,0.9750579091214002,1.0
CelebDF,T9_skin_texture,0.6322,0.637,-0.0048,-1.03,0.30301842353772424,1.0
CelebDF,T10_color_transfer,0.6322,0.6295,0.0027,0.505,0.6139058246219242,1.0
CelebDF,T11_specular,0.6322,0.635,-0.0028,-0.693,0.48847360073043533,1.0
CelebDF,T12_blink,0.6322,0.629,0.0032,0.463,0.6435145472722379,1.0
CelebDF,T13_motion_blur_coupling,0.6322,0.6273,0.0049,0.63,0.5284793246891888,1.0
CelebDF,T14_dct_temporal,0.6322,0.6333,-0.0011,-0.259,0.7953034389865243,1.0
