model,DF,F2F,FS,NT,mean_of_4,pooled,pooled_ci_lo,pooled_ci_hi
196-D,0.907,0.796,0.831,0.833,0.8420,0.8420,0.802,0.880
53-D,0.911,0.787,0.807,0.838,0.8358,0.8358,0.796,0.874
