descriptor,CelebDF,CelebDF,WildDeepfake,WildDeepfake
,fake,real,fake,real
t_rppg_snr,1.0917808602213444,1.1293716730020271,-2.286145707235673,-3.728158278865813
t_noise_spectral_entropy,-2.141516267376108,-1.41592398944843,-2.8523728198179943,-3.1352792266489447
s_flow_dir_consist,0.3757124481653287,0.3352466232999384,-3.089777473118383,-2.106890422861866
t_dct_temporal_autocorr,-0.264939935594799,-0.652545318729084,-2.5617859999552377,-2.712854606895447
s_noise_hf_ratio,0.1557296251549998,0.2693214686025679,-2.272933107705116,-2.557934751590498
s_benford_dev,2.5037786724360185,2.4181922753059024,0.0559176404626269,-0.3586315895042922
s_dbl_compress,1.126062628498975,1.1452795652862724,2.3756550561539704,2.392073902492741
t_rppg_peak_prominence,1.7729463766444389,1.71535063998632,-1.9260394858216652,-2.31888823235485
s_flow_mag,0.2021584560083783,0.275119621362955,-2.1494326865961284,-2.1587227915009453
t_face_ssim_min,-0.7117395904135182,-0.7327484522662069,-2.0885847974587355,-1.665269697817643
t_noise_temporal_corr,0.5273311252054281,0.3870335068751718,1.741409703797841,1.3902681064009064
t_face_ssim_std,0.9915102649828368,0.9542453011885558,1.681856694898728,1.3037982758681057
t_blink_symmetry,-0.0746484514126086,-0.5139955544798025,-0.9108614547750896,-1.6040570433581225
t_blink_duration,0.2192045577774606,-0.0382986682205774,-0.5718613165480242,-1.5830758070691584
t_rppg_harmonic_ratio,0.0435401947659192,0.0475650020388071,-1.2638706468907033,-0.9183006309622302
s_noise_res_std,-1.0656188234857769,-1.0142614594303148,-1.105804650232607,-1.2210874931476146
t_blink_rate,0.340908878851589,0.0641495893308492,-0.7608186168890999,-1.2176007081946194
t_residual_entropy,-0.1140693457138551,-0.0940349136805152,-1.147163769634732,-1.1854740156894228
t_landmark_jitter,1.1849924209776723,1.084490671538738,0.5732926316665942,0.295297841916843
t_rigid_dist_var,1.1821757420006072,0.9018435937397242,0.8920231354294255,0.4788476186969881
s_blur_mag,-0.5469133909027662,-0.4957760152746881,-0.6856997991416617,-1.165621656203374
t_boundary_freq_leakage,0.1895914376524843,0.251857520964806,1.1611372823658546,1.0477329533435942
t_interpupillary_std,1.101674978076082,0.8844907154487996,0.831327777714599,0.5747108791537395
t_skin_bg_decorrelation,1.093479021920306,1.0050205194242117,0.3332527179793129,0.4046677364575313
t_face_ssim_mean,-0.526338410968556,-0.5721797645023852,-1.003666622262028,-1.0736441034835198
t_landmark_accel_var,0.1432170173354324,0.161070482948377,0.988068624533256,0.607121404052049
s_prnu_energy,-0.9292225799677428,-0.902255112686636,-0.7535085055082197,-0.9807515302559444
s_shadow_score,0.1944239058537233,0.4008395657423041,0.3498484269481886,0.9806179733254156
t_prnu_temporal_stability,-0.1073287778302268,-0.2503037052383113,-0.5789267129555508,-0.9713305562212438
t_skin_texture_corr,-0.0859350981600665,-0.3029480485277511,-0.8792188825893765,-0.9654688685168308
t_skin_color_jitter,0.09308174295551,0.3498916681641018,0.8922163680437674,0.5153757253137582
t_residual_flow_corr,0.1034701977925316,-0.1517699773077686,-0.8562177351694829,-0.8904912436700736
t_specular_symmetry,-0.761907487970679,-0.5736542601952619,-0.8392527259525061,-0.6925746444670547
t_texture_warp_residual,0.3358341576419195,0.7319555325947422,0.8378394393116156,0.669444530536921
s_block_artifact,-0.6172887835870557,-0.5287761876537912,-0.8267991879178016,-0.7492093301756447
t_jaw_chin_rigidity,0.6184821117115769,0.6261725507660906,-0.6951919269101912,-0.8211784254772609
t_landmark_velocity_autocorr,-0.3341977695379244,-0.3525590567372507,-0.7259237791548256,-0.8048093679166027
t_boundary_color_disc,-0.0247721077359504,0.1293638505554106,0.779496961531762,0.6679427110384607
t_coupling_consistency,-0.7366067806516505,-0.3947742462529789,-0.1159613563004358,0.1551544173363641
t_specular_stability,-0.4437870158025495,-0.4291539159013581,-0.6717736910223133,0.0230248977405136
t_noise_corr_std,0.6604854927795522,0.4167527439171646,0.5701875893614134,0.3828580023190326
t_boundary_grad_temporal,-0.2276714693281587,-0.2096945418438758,0.5501142195228057,0.2280059510372217
t_dct_temporal_std,0.1473822228835453,0.3223124745910278,-0.4752546707657496,-0.253312246280407
t_nose_bridge_std,0.37674231172239,0.1978919059599007,0.3873220554350256,-0.2004579431078503
t_motion_blur_coupling,-0.2045091638370762,-0.095159606011053,0.1936839447212741,0.3867949571245865
s_prnu_face_periph,0.2705446276784725,0.3407204433569778,0.2051651510079635,0.3841586689719881
s_noise_vmr,-0.1285160767840116,0.0653215724170747,0.1956100624546937,0.3639143217442676
s_face_bg_diff,0.3107114559220383,0.1595069393305302,0.0833426904111591,-0.2678510291807299
t_rppg_interregion_corr,-0.0748853425406888,-0.0173487378128514,0.2554882856868722,-0.0803673720735261
t_prnu_face_vs_bg,0.1940828688743311,0.1184414772613974,-0.1323860163819548,0.1162676031707501
