dataset,pillar,n_pillar_feats,full_auc,loGo_auc,delta_auc,delta_ci_lo,delta_ci_hi,n_test
NeuralTextures,P1_noise,3,0.7867,0.7605,0.0262,0.0012,0.0519,269
NeuralTextures,P2_prnu,2,0.7867,0.7803,0.0064,-0.0125,0.026,269
NeuralTextures,P4_shadow,2,0.7867,0.784,0.0028,-0.0102,0.0161,269
NeuralTextures,P6_compression,3,0.7867,0.786,0.0007,-0.0146,0.0155,269
NeuralTextures,P8_blur,1,0.7867,0.7899,-0.0032,-0.0132,0.0062,269
NeuralTextures,P9_flow,2,0.7867,0.7692,0.0176,-0.0011,0.036,269
NeuralTextures,T1_temporal_noise,3,0.7867,0.7887,-0.002,-0.0148,0.0123,269
NeuralTextures,T2_rppg,4,0.7867,0.796,-0.0092,-0.0285,0.0081,269
NeuralTextures,T3_temporal_prnu,2,0.7867,0.783,0.0037,-0.0121,0.0204,269
NeuralTextures,T4_face_ssim,3,0.7867,0.7986,-0.0118,-0.0304,0.0052,269
NeuralTextures,T5_codec_residual,2,0.7867,0.7771,0.0096,-0.004,0.0243,269
NeuralTextures,T6_landmark_traj,4,0.7867,0.7943,-0.0075,-0.0314,0.0172,269
NeuralTextures,T7_rigid_geometry,3,0.7867,0.7926,-0.0059,-0.0204,0.0099,269
NeuralTextures,T8_face_bg_edge,3,0.7867,0.7922,-0.0055,-0.0183,0.0067,269
NeuralTextures,T9_skin_texture,2,0.7867,0.787,-0.0002,-0.021,0.0185,269
NeuralTextures,T10_color_transfer,2,0.7867,0.793,-0.0062,-0.0229,0.0099,269
NeuralTextures,T11_specular,2,0.7867,0.7883,-0.0015,-0.0153,0.0118,269
NeuralTextures,T12_blink,3,0.7867,0.7893,-0.0025,-0.0158,0.0111,269
NeuralTextures,T13_motion_blur_coupling,2,0.7867,0.7804,0.0064,-0.0117,0.0257,269
NeuralTextures,T14_dct_temporal,2,0.7867,0.783,0.0038,-0.0108,0.0183,269
CelebDF,P1_noise,3,0.6322,0.6194,0.0128,0.0038,0.0221,6121
CelebDF,P2_prnu,2,0.6322,0.6331,-0.0009,-0.009,0.0069,6121
CelebDF,P4_shadow,2,0.6322,0.6274,0.0048,-0.0043,0.0134,6121
CelebDF,P6_compression,3,0.6322,0.6212,0.011,0.0041,0.0178,6121
CelebDF,P8_blur,1,0.6322,0.6346,-0.0025,-0.0096,0.0052,6121
CelebDF,P9_flow,2,0.6322,0.6258,0.0063,-0.0028,0.0163,6121
CelebDF,T1_temporal_noise,3,0.6322,0.6324,-0.0002,-0.0099,0.009,6121
CelebDF,T2_rppg,4,0.6322,0.6461,-0.0139,-0.0233,-0.0051,6121
CelebDF,T3_temporal_prnu,2,0.6322,0.6221,0.0101,0.0029,0.0172,6121
CelebDF,T4_face_ssim,3,0.6322,0.6206,0.0116,0.0013,0.0207,6121
CelebDF,T5_codec_residual,2,0.6322,0.6301,0.0021,-0.0071,0.0115,6121
CelebDF,T6_landmark_traj,4,0.6322,0.6253,0.0069,-0.0031,0.017,6121
CelebDF,T7_rigid_geometry,3,0.6322,0.6441,-0.0119,-0.0253,0.0016,6121
CelebDF,T8_face_bg_edge,3,0.6322,0.632,0.0002,-0.0096,0.01,6121
CelebDF,T9_skin_texture,2,0.6322,0.637,-0.0048,-0.0147,0.0045,6121
CelebDF,T10_color_transfer,2,0.6322,0.6295,0.0027,-0.0076,0.0133,6121
CelebDF,T11_specular,2,0.6322,0.635,-0.0028,-0.0107,0.0051,6121
CelebDF,T12_blink,3,0.6322,0.629,0.0032,-0.0094,0.0161,6121
CelebDF,T13_motion_blur_coupling,2,0.6322,0.6273,0.0049,-0.0103,0.0201,6121
CelebDF,T14_dct_temporal,2,0.6322,0.6333,-0.0011,-0.0093,0.0065,6121
